City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,neiafu,-18.65,-173.9833,27.38,89,75,4.12,TO,1672967891
1,ushuaia,-54.8,-68.3,18.81,48,100,8.23,AR,1672967892
2,faanui,-16.4833,-151.75,27.75,64,13,4.45,PF,1672967895
3,coruripe,-10.1256,-36.1756,25.19,83,1,5.93,BR,1672967660
4,lima,-12.0432,-77.0282,23.83,68,0,5.14,PE,1672967449
5,chernyshevskiy,63.0128,112.4714,-30.46,98,100,1.22,RU,1672967896
6,miranda de ebro,42.6865,-2.947,3.32,73,6,1.98,ES,1672967896
7,high level,58.5169,-117.136,-16.94,92,20,1.54,CA,1672967718
8,mataura,-46.1927,168.8643,24.11,59,97,2.97,NZ,1672967897
9,souillac,-20.5167,57.5167,25.12,79,88,6.19,MU,1672967578
10,hithadhoo,-0.6,73.0833,26.8,68,0,4.56,MV,1672967579
11,nome,64.5011,-165.4064,-3.96,75,100,3.6,US,1672967448
12,hilo,19.7297,-155.09,26.85,78,20,4.63,US,1672967580
13,tamandare,-8.7597,-35.1047,25.48,81,31,4.03,BR,1672967580
14,rosarito,32.3333,-117.0333,15.53,83,25,2.59,MX,1672967536
15,namatanai,-3.6667,152.4333,28.71,75,54,2.68,PG,1672967422
16,hobart,-42.8794,147.3294,20.03,53,75,4.63,AU,1672967467
17,rikitea,-23.1203,-134.9692,25.87,75,7,7.73,PF,1672967581
18,butaritari,3.0707,172.7902,27.46,73,97,5.96,KI,1672967582
19,tuktoyaktuk,69.4541,-133.0374,-26.56,99,13,3.84,CA,1672967582
20,georgetown,5.4112,100.3354,26.96,69,20,0.0,MY,1672967583
21,ribeira grande,38.5167,-28.7,16.54,84,100,8.05,PT,1672967584
22,berezovyy,51.6667,135.7,-20.61,86,10,0.68,RU,1672967584
23,vittorio veneto,45.9767,12.3033,8.64,83,63,1.27,IT,1672967585
24,san cristobal,7.7669,-72.225,20.1,91,94,0.72,VE,1672967585
25,lebu,-37.6167,-73.65,14.4,93,4,1.43,CL,1672967586
26,hobyo,5.3505,48.5268,24.68,78,22,7.86,SO,1672967321
27,plettenberg bay,-34.0527,23.3716,15.87,86,89,2.34,ZA,1672967586
28,puerto ayora,-0.7393,-90.3518,23.08,94,39,1.34,EC,1672967130
29,tuatapere,-46.1333,167.6833,18.55,86,100,3.31,NZ,1672967587
30,yellowknife,62.456,-114.3525,-14.13,84,97,3.58,CA,1672967588
31,punta arenas,-53.15,-70.9167,15.06,72,75,9.77,CL,1672967810
32,jamestown,42.097,-79.2353,4.77,59,75,2.06,US,1672967071
33,porto velho,-8.7619,-63.9039,24.03,94,0,0.0,BR,1672967577
34,poum,-20.2333,164.0167,27.7,73,100,4.3,NC,1672967589
35,tautira,-17.7333,-149.15,26.46,74,81,4.76,PF,1672967589
36,kruisfontein,-34.0033,24.7314,14.94,83,98,2.35,ZA,1672967590
37,bathsheba,13.2167,-59.5167,26.34,78,75,10.29,BB,1672967590
38,iqaluit,63.7506,-68.5145,-29.6,92,69,4.31,CA,1672967370
39,biltine,14.5333,20.9167,16.84,28,51,6.04,TD,1672967591
40,bethel,41.3712,-73.414,7.47,88,100,2.57,US,1672967592
41,kahului,20.8947,-156.47,27.01,78,40,6.17,US,1672967592
42,springfield,37.2153,-93.2982,3.97,65,0,2.57,US,1672967387
43,tahe,52.3333,124.7333,-24.6,96,6,1.15,CN,1672967593
44,atuona,-9.8,-139.0333,25.78,76,3,6.98,PF,1672967593
45,awbari,26.5921,12.7805,9.54,53,51,2.76,LY,1672967594
46,albany,42.6001,-73.9662,6.69,89,100,1.14,US,1672967074
47,norman wells,65.282,-126.8329,-26.58,100,96,1.05,CA,1672967595
48,pevek,69.7008,170.3133,-33.58,95,100,1.72,RU,1672967595
49,castro,-24.7911,-50.0119,12.59,94,5,2.95,BR,1672967596
50,vaini,-21.2,-175.2,28.09,89,75,5.14,TO,1672967596
51,caapucu,-26.2167,-57.2,24.17,37,0,1.52,PY,1672967597
52,miramar,25.9873,-80.2323,24.45,81,0,2.57,US,1672967583
53,cherskiy,68.75,161.3,-46.54,100,69,1.09,RU,1672967396
54,kolyvan,55.3053,82.7391,-14.21,99,100,1.47,RU,1672967598
55,tasiilaq,65.6145,-37.6368,-10.91,53,19,4.44,GL,1672967599
56,port alfred,-33.5906,26.891,16.21,87,100,4.82,ZA,1672967599
57,vangaindrano,-23.35,47.6,22.48,92,100,1.32,MG,1672967600
58,ostrovnoy,68.0531,39.5131,-8.75,74,100,0.95,RU,1672967600
59,kanker,20.2719,81.4931,13.61,92,4,0.95,IN,1672967601
60,araouane,18.9048,-3.5265,19.07,19,100,4.03,ML,1672967601
61,sibolga,1.7427,98.7792,24.72,88,100,0.92,ID,1672967602
62,carnarvon,-24.8667,113.6333,24.7,80,60,7.12,AU,1672967470
63,bairiki,1.3292,172.9752,30.0,70,20,4.63,KI,1672967603
64,meulaboh,4.1363,96.1285,24.73,89,80,1.0,ID,1672967604
65,bredasdorp,-34.5322,20.0403,17.89,55,100,3.33,ZA,1672967604
66,mar del plata,-38.0023,-57.5575,21.72,93,0,3.09,AR,1672967903
67,tiksi,71.6872,128.8694,-28.05,93,100,1.07,RU,1672967605
68,kroya,-7.6331,109.2461,26.41,81,100,1.48,ID,1672967606
69,padang,-0.9492,100.3543,23.03,86,100,0.68,ID,1672967542
70,new norfolk,-42.7826,147.0587,19.84,42,0,1.79,AU,1672967606
71,sawankhalok,17.316,99.8319,20.75,68,80,1.61,TH,1672967607
72,egvekinot,66.3167,-179.1667,-24.71,90,99,5.27,RU,1672967607
73,dikson,73.5069,80.5464,-33.0,100,100,2.22,RU,1672967608
74,isangel,-19.55,169.2667,26.73,87,100,9.97,VU,1672967372
75,busselton,-33.65,115.3333,24.41,58,85,7.71,AU,1672967608
76,calvinia,-31.4707,19.776,12.1,62,0,5.46,ZA,1672967609
77,sudak,44.85,34.9667,9.23,86,100,5.48,UA,1672967609
78,poughkeepsie,41.7004,-73.921,8.95,92,100,3.6,US,1672967411
79,lompoc,34.6391,-120.4579,13.25,86,0,0.45,US,1672967415
80,okhotsk,59.3833,143.3,-24.34,85,96,5.63,RU,1672967610
81,vao,-22.6667,167.4833,26.25,83,100,6.16,NC,1672967611
82,torbay,47.6666,-52.7314,-5.24,72,85,5.81,CA,1672967611
83,cape town,-33.9258,18.4232,19.1,70,0,4.92,ZA,1672967612
84,waipawa,-41.4122,175.5153,19.44,78,100,2.46,NZ,1672967612
85,lermontovka,47.1453,134.3383,-18.76,94,52,1.86,RU,1672967612
86,sao filipe,14.8961,-24.4956,24.12,61,100,4.77,CV,1672967613
87,alexandria,31.2156,29.9553,17.09,65,100,4.77,EG,1672967623
88,harrai,22.6167,79.2167,8.91,43,0,1.44,IN,1672967614
89,birnin kebbi,12.4539,4.1975,20.56,24,100,4.7,NG,1672967614
90,hermanus,-34.4187,19.2345,17.91,61,100,4.75,ZA,1672967614
91,topolobampo,25.6,-109.05,21.95,40,0,7.2,MX,1672967615
92,balagansk,54.0103,103.0544,-21.33,99,98,0.97,RU,1672967615
93,barrow,71.2906,-156.7887,-18.99,78,100,8.23,US,1672967581
94,ventspils,57.3894,21.5606,-8.04,100,40,2.57,LV,1672967617
95,camana,-16.6228,-72.7111,21.94,84,9,3.01,PE,1672967617
96,port elizabeth,-33.918,25.5701,16.29,88,78,0.45,ZA,1672967618
97,olavarria,-36.8927,-60.3225,25.3,26,100,3.61,AR,1672967618
98,nikolskoye,59.7035,30.7861,-12.33,97,98,0.59,RU,1672967619
99,rantepao,-2.9701,119.8978,24.78,65,100,1.38,ID,1672967619
